City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,och'amch'ire,42.7123,41.4686,289.81,79,91,2.2,GE,1682614965
360,swift current,50.2834,-107.8014,278.6,75,100,4.12,CA,1682614778
361,sakakah,29.9697,40.2064,304.91,16,8,3.55,SA,1682614966
362,kinablangan,7.6947,126.5503,299.27,84,68,1.49,PH,1682614966
363,canyon,34.9803,-101.9188,290.95,55,6,3.08,US,1682614966
364,sao tome,0.3365,6.7273,300.0,81,100,4.35,ST,1682614967
365,ponnani,10.767,75.9252,301.77,79,93,1.97,IN,1682614967
366,bom conselho,-9.1697,-36.6797,299.17,68,90,2.5,BR,1682614968
367,n'zeto,-7.2312,12.8666,299.7,87,100,2.51,AO,1682614968
368,ambo,-10.1308,-76.2047,295.08,59,78,2.47,PE,1682614968
369,dolisie,-4.1997,12.6739,297.49,90,100,0.45,CG,1682614960
370,faya-largeau,17.9257,19.1043,309.04,8,80,4.48,TD,1682614969
371,nagqu,31.5,92.0,273.64,70,91,5.69,CN,1682614969
372,mao,39.8885,4.2658,293.46,64,0,4.12,ES,1682614970
373,kerikeri,-35.2268,173.9474,285.32,92,100,1.69,NZ,1682614971
374,childress,34.4264,-100.204,286.29,62,100,5.14,US,1682614971
375,suining,30.508,105.5733,292.86,73,100,2.18,CN,1682614971
376,morondava,-20.2833,44.2833,299.04,72,1,4.94,MG,1682614972
377,saint-francois,46.4154,3.9054,293.84,49,0,1.54,FR,1682614972
378,nueva villa de padilla,24.0167,-98.7833,298.76,61,99,1.93,MX,1682614972
379,lompoc,34.6391,-120.4579,286.23,100,100,0.0,US,1682614811
380,colby,39.3958,-101.0524,288.71,51,0,6.17,US,1682614920
381,bedford,52.1346,-0.4663,283.78,88,20,5.14,GB,1682614958
382,rumphi,-11.0186,33.8575,289.14,95,13,1.5,MW,1682614974
383,byron bay,-28.65,153.6167,290.21,83,49,2.09,AU,1682614595
384,valparaiso,-33.0393,-71.6273,289.26,77,100,1.54,CL,1682614705
385,preobrazheniye,42.9019,133.9064,279.05,85,72,2.61,RU,1682614975
386,hasaki,35.7333,140.8333,287.37,68,85,7.15,JP,1682614975
387,isangel,-19.55,169.2667,297.54,80,49,4.74,VU,1682614975
388,volchansk,59.9378,60.081,282.47,89,85,2.01,RU,1682614976
389,arkalyk,50.2486,66.9114,291.86,30,60,2.9,KZ,1682614976
390,boguchany,58.3814,97.4531,271.15,96,92,1.11,RU,1682614976
391,warrnambool,-38.3833,142.4833,288.89,89,7,6.13,AU,1682614977
392,hunsur,12.3075,76.2878,297.82,71,83,2.36,IN,1682614978
393,yeniseysk,58.4497,92.1703,274.2,98,100,3.11,RU,1682614978
394,masasi,-10.7167,38.8,295.05,73,80,1.13,TZ,1682614979
395,noumea,-22.2763,166.4572,297.59,99,99,5.22,NC,1682614980
396,gadzhiyevo,69.2551,33.3362,274.0,86,38,6.81,RU,1682614980
397,chibougamau,49.9168,-74.3659,278.94,65,40,3.6,CA,1682614981
398,east london,-33.0153,27.9116,294.67,73,0,5.66,ZA,1682614982
399,praia da vitoria,38.7333,-27.0667,294.29,64,40,10.42,PT,1682614982
400,yacimiento rio turbio,-51.5732,-72.3508,277.81,76,100,5.66,AR,1682614983
401,saint joseph,39.7686,-94.8466,292.35,47,75,3.48,US,1682614984
402,ketchikan,55.3422,-131.6461,279.14,98,100,3.72,US,1682614986
403,puerto madryn,-42.7692,-65.0385,292.64,35,83,0.25,AR,1682614914
404,ancud,-41.8697,-73.8203,284.09,90,100,4.67,CL,1682614857
405,fisterra,42.9049,-9.2629,293.72,76,100,1.98,ES,1682614987
406,viedma,-40.8135,-62.9967,294.38,33,100,6.8,AR,1682614988
407,broken hill,-31.95,141.4333,291.97,35,66,4.03,AU,1682614952
408,albemarle,35.3501,-80.2001,289.88,98,100,1.54,US,1682614990
409,lamu,-2.2717,40.902,297.27,81,100,8.22,KE,1682614990
410,lupane,-18.9315,27.807,296.55,31,19,1.23,ZW,1682614991
411,caleta de carquin,-11.0925,-77.6267,298.87,72,57,4.21,PE,1682614993
412,san patricio,28.017,-97.5169,297.07,76,87,6.63,US,1682614993
413,boende,-0.2167,20.8667,298.48,73,80,0.78,CD,1682614994
414,tapioszecso,47.45,19.6092,287.36,56,95,0.79,HU,1682614994
415,karis,60.0718,23.6616,281.83,76,89,2.78,FI,1682614995
416,stjordalshalsen,63.4681,10.9262,277.15,87,100,9.77,NO,1682614996
417,kavieng,-2.5744,150.7967,300.82,80,16,3.07,PG,1682614996
418,mokhsogollokh,61.4681,128.9203,268.58,99,100,1.23,RU,1682614997
419,bardai,11.65,7.2333,305.37,28,87,4.01,NG,1682614997
420,kapa'a,22.0752,-159.319,293.14,82,32,2.15,US,1682614998
421,saint-pierre,-21.3393,55.4781,295.97,73,20,3.09,RE,1682614980
422,tinghir,31.5157,-5.5343,303.07,13,90,4.64,MA,1682614998
423,amealco,20.1833,-100.15,294.95,17,72,4.68,MX,1682614999
424,al bardiyah,31.7561,25.0865,290.35,65,2,8.68,LY,1682615000
425,port blair,11.6667,92.75,301.87,76,36,2.15,IN,1682615000
426,bikenibeu village,1.3673,173.1241,301.13,74,20,4.63,KI,1682615001
427,luanda,-8.8368,13.2343,301.15,83,20,5.66,AO,1682614802
428,salinopolis,-0.6136,-47.3561,300.11,82,100,1.49,BR,1682615002
429,imphal,24.8167,93.95,292.23,55,22,1.28,IN,1682615004
430,farasan,16.7022,42.1183,302.71,75,28,2.61,SA,1682615005
431,riverton,40.5219,-111.9391,291.88,39,0,5.36,US,1682614982
432,plant city,28.0186,-82.1129,305.24,63,40,3.6,US,1682614717
433,acapulco de juarez,16.8634,-99.8901,302.27,58,17,3.0,MX,1682614774
434,jiangyou,31.7667,104.7167,290.43,80,100,1.96,CN,1682615007
435,harper,4.375,-7.7169,302.22,71,74,4.41,LR,1682615007
436,balotra,25.8333,72.2333,303.52,28,100,2.02,IN,1682615008
437,dalandzadgad,43.5708,104.425,274.8,19,99,10.52,MN,1682615009
438,kurumkan,54.3,110.3,275.36,65,99,1.11,RU,1682615010
439,tutoia,-2.7619,-42.2744,295.19,96,100,5.35,BR,1682614887
440,lubana,56.9,26.7167,280.42,54,84,1.85,LV,1682615012
441,prineville,44.2999,-120.8345,293.35,45,0,2.06,US,1682615012
442,opuwo,-18.0607,13.84,300.62,24,9,3.63,NA,1682615013
443,smithers,54.7804,-127.1743,276.33,65,75,2.06,CA,1682614949
444,la'ie,21.6477,-157.9253,295.31,91,35,3.56,US,1682615014
445,fortuna,40.5982,-124.1573,288.14,80,46,3.15,US,1682614820
446,selebi-phikwe,-21.979,27.8498,297.03,37,0,3.85,BW,1682615016
447,yeppoon,-23.1333,150.7333,292.03,87,48,6.39,AU,1682615017
448,afaahiti,-17.75,-149.2833,297.08,81,63,5.38,PF,1682615017
449,kolonia,50.9333,6.95,290.14,38,0,2.57,DE,1682614848
450,trincomalee,8.5711,81.2335,302.02,76,96,4.68,LK,1682615019
451,ghadamis,30.1337,9.5007,306.46,8,0,3.87,LY,1682615020
452,meadow lakes,61.6247,-149.6011,278.2,65,100,0.45,US,1682615021
453,chui,-33.6971,-53.4616,297.37,48,0,3.85,UY,1682615021
454,cidreira,-30.1811,-50.2056,295.47,67,44,5.65,BR,1682615022
455,kavaratti,10.5669,72.642,301.83,67,49,1.48,IN,1682615022
456,sierra grande,-41.606,-65.3557,296.2,13,99,4.96,AR,1682615022
457,antsiranana,-12.2787,49.2917,299.23,79,43,6.57,MG,1682615023
458,sur,22.5667,59.5289,300.53,63,13,2.82,OM,1682615024
459,leeton,-34.5667,146.4,292.53,47,46,6.79,AU,1682615025
460,howrah,22.5892,88.3103,297.15,88,75,3.09,IN,1682615025
461,kokpekty,48.75,82.4,284.11,58,45,0.69,KZ,1682615026
462,mushie,-3.0167,16.9,300.04,70,53,1.06,CD,1682615026
463,marka,1.7159,44.7717,301.84,74,100,6.39,SO,1682615027
464,cockburn town,21.4612,-71.1419,298.97,74,84,2.71,TC,1682615027
465,tazacorte,28.629,-17.9293,295.69,68,75,3.09,ES,1682615028
466,farafangana,-22.8167,47.8333,295.62,82,5,3.08,MG,1682615028
467,simao dias,-10.7383,-37.8111,302.42,59,67,3.93,BR,1682615028
468,kashgar,39.4547,75.9797,284.71,66,75,7.0,CN,1682615029
469,claveria,18.6074,121.0832,298.21,92,21,4.97,PH,1682615029
470,richards bay,-28.783,32.0377,297.47,78,27,5.65,ZA,1682615030
471,sebis,46.3667,22.1167,281.64,69,43,2.84,RO,1682615030
472,skelleftea,64.7507,20.9528,277.35,100,75,2.57,SE,1682615030
473,kalevala,65.2,31.1667,274.49,92,100,5.04,RU,1682615031
474,slave lake,55.2834,-114.769,277.14,81,100,2.06,CA,1682615031
475,aitape,-3.1374,142.3475,298.82,86,99,1.7,PG,1682615031
476,olonets,60.9847,32.9698,286.43,68,31,5.28,RU,1682615032
477,ryotsu-minato,38.0833,138.4333,283.5,77,3,1.38,JP,1682615032
478,tyre,33.2733,35.1939,292.11,58,3,1.19,LB,1682615032
